location_id,year_id,mean_value
10,1955,0.207283028
10,1956,0.210521133
10,1957,0.213963759
10,1958,0.217469944
10,1959,0.221481741
10,1960,0.225751929
10,1961,0.22953243
10,1962,0.233579015
10,1963,0.238039728
10,1964,0.241738312
10,1965,0.245452547
10,1966,0.249143281
10,1967,0.252866012
10,1968,0.256669295
10,1969,0.260153776
10,1970,0.262607769
10,1971,0.264507225
10,1972,0.265908504
10,1973,0.267328028
10,1974,0.268011238
10,1975,0.267769733
10,1976,0.267615648
10,1977,0.267468647
10,1978,0.268054799
10,1979,0.268570623
10,1980,0.269835495
10,1981,0.271664072
10,1982,0.273815503
10,1983,0.276356649
10,1984,0.279295353
10,1985,0.282363661
10,1986,0.285254836
10,1987,0.288328799
10,1988,0.291632888
10,1989,0.294871899
10,1990,0.297912179
10,1991,0.30174737
10,1992,0.306470875
10,1993,0.311361312
10,1994,0.3157062
10,1995,0.320744032
10,1996,0.325701157
10,1997,0.330475709
10,1998,0.334886772
10,1999,0.340177766
10,2000,0.346046824
10,2001,0.352407993
10,2002,0.359238255
10,2003,0.366644623
10,2004,0.374663104
10,2005,0.383431032
10,2006,0.392321966
10,2007,0.401173689
10,2008,0.409702589
10,2009,0.417191562
10,2010,0.424048789
10,2011,0.43070489
10,2012,0.437279017
10,2013,0.443568117
10,2014,0.449741628
10,2015,0.455859698
10,2016,0.461918487
10,2017,0.467955251
10,2018,0.474058287
10,2019,0.480206499
10,2020,0.485192544
10,2021,0.490028713
10,2022,0.494960097
10,2023,0.499953382
11,1950,0.203645605
11,1951,0.207860254
11,1952,0.211622542
11,1953,0.215479246
11,1954,0.219399977
11,1955,0.223251363
11,1956,0.227022542
11,1957,0.231024618
11,1958,0.23446079
11,1959,0.238108824
11,1960,0.241882027
11,1961,0.245772205
11,1962,0.249546817
11,1963,0.25302864
11,1964,0.256781255
11,1965,0.260658039
11,1966,0.264693045
11,1967,0.268918877
11,1968,0.273984489
11,1969,0.279829257
11,1970,0.286628518
11,1971,0.294007018
11,1972,0.30156055
11,1973,0.309368158
11,1974,0.317532763
